id,full_text,username,url
1069342932249899000,"So there's this thing called the Modifiable Areal Unit Problem -- when point-level data is aggregated into geographic districts, the resulting numbers can tell a story that isn't real. These stories change depending on the modifiable areal unit.",lyzidiamond,https://twitter.com/user/status/1069342932249899008
1238556851643519000,"Hello, good afternoon, let's do another mappy Twitter-torial, shall we? Today's topic is visualizing aggregate data. Mostly it's a critique of this map, which you've probably seen quite a bit. It has great data! But I take issue with the techniques used. https://t.co/98qqpkxhDG",lyzidiamond,https://twitter.com/user/status/1238556851643518981
1238557962236579800,"We are all familiar with maps that visualize aggregate data. The most common one you've probably seen is a ""choropleth"" map -- a map of areas that are filled in with a color or pattern that tell you something about that area. Like this electoral map from the BBC: https://t.co/USzzwrghOu",lyzidiamond,https://twitter.com/user/status/1238557962236579844
1238559830828253200,"The colors on the map share information: which party won the district, and by what percentage. Choropleth maps have many of their own issues (making assumptions about large geographic areas), but are useful for showing data aggregated at an area level.",lyzidiamond,https://twitter.com/user/status/1238559830828253186
1238560988619817000,"There are two other common ways to show aggregated data: a ""dot density"" map and a ""graduated symbol"" map. Dot density maps use one dot to represent some number of things you're mapping, and cluster the dots in geographic areas. Here's one cool example from Bill Rankin (2009) https://t.co/A1bw37WjVQ",lyzidiamond,https://twitter.com/user/status/1238560988619816963
1238561449351557000,"Each dot represents 25 people in Chicago. That dot is not providing a specific geographic location of those 25 people, but a random location inside that geographic area (along with the other dots in the geographic area. Striking, no? It does a nice job of telling the story.",lyzidiamond,https://twitter.com/user/status/1238561449351557122
1238562354239078400,"Finally, we have graduated symbol maps (aka ""proportional symbols""). These use a symbol (often a circle) to represent a geographic area, and the size and/or color of the symbol is related to some aspect of the data. Example: the Johns Hopkins coronavirus map. https://t.co/vXLnRsULhs",lyzidiamond,https://twitter.com/user/status/1238562354239078401
1238563186707697700,"In the case of this map, each dot represents a state/province or country (depends on the region, in the US it's states) and the radius of the circle tells us how many confirmed cases are in that area. (Also fun: note that the scale isn't linear, but logarithmic!) https://t.co/DL8Nccx2Yi",lyzidiamond,https://twitter.com/user/status/1238563186707697664
1238563754922643500,What is this map trying to tell us? It's trying to convey the total number of cases of COVID-19 across the world. Does it do a good job of that? Yes and no. Here are some of my critiques of this map.,lyzidiamond,https://twitter.com/user/status/1238563754922643458
1238564009672085500,"1. Knowing the total number of cases in an area is useful. Knowing the number of cases within a political boundary is also useful... to a point. If I live on the border of Washington and Oregon (say, in Portland), that state border doesn't mean that much to me.",lyzidiamond,https://twitter.com/user/status/1238564009672085510
